n =     0, term =  1, ratio = 1.000000, overshoot = 0.000000e+00
n =     1, term =  1, ratio = 1.000000, overshoot = 0.000000e+00
n =     3, term =  2, ratio = 1.000000, overshoot = 0.000000e+00
n =     6, term =  3, ratio = 1.000000, overshoot = 0.000000e+00
n =    11, term =  5, ratio = 1.085083, overshoot = 6.970000e+02
n =    16, term =  5, ratio = 1.010683, overshoot = 1.120200e+04
n =    22, term =  6, ratio = 1.017114, overshoot = 4.594079e+06
n =    29, term =  7, ratio = 1.017928, overshoot = 4.928110e+09
n =    37, term =  8, ratio = 1.015838, overshoot = 1.783243e+13
n =    46, term =  9, ratio = 1.096425, overshoot = 8.893600e+17
n =    54, term =  8, ratio = 1.010197, overshoot = 3.852474e+20
n =    63, term =  9, ratio = 1.022374, overshoot = 6.924340e+24
n =    73, term = 10, ratio = 1.055042, overshoot = 5.581922e+29
n =    82, term =  9, ratio = 1.024056, overshoot = 1.998522e+33
n =    92, term = 10, ratio = 1.017722, overshoot = 4.824465e+37
n =   102, term = 10, ratio = 1.006286, overshoot = 5.607087e+41
n =   113, term = 11, ratio = 1.035202, overshoot = 4.115866e+47
n =   123, term = 10, ratio = 1.035303, overshoot = 6.762776e+51
n =   134, term = 11, ratio = 1.039343, overshoot = 9.878481e+56
n =   145, term = 11, ratio = 1.070304, overshoot = 1.156858e+62
n =   155, term = 10, ratio = 1.016846, overshoot = 9.083219e+65
n =   166, term = 11, ratio = 1.005791, overshoot = 4.092537e+70
n =   177, term = 11, ratio = 1.025891, overshoot = 1.199181e+76
n =   188, term = 11, ratio = 1.031721, overshoot = 9.628655e+80
n =   199, term = 11, ratio = 1.001974, overshoot = 7.854597e+84
n =   210, term = 11, ratio = 1.002538, overshoot = 6.617376e+89
n =   222, term = 12, ratio = 1.044882, overshoot = 3.067723e+96
n =   233, term = 11, ratio = 1.006369, overshoot = 5.706000e+100
n =   245, term = 12, ratio = 1.045671, overshoot = 1.072610e+107
n =   256, term = 11, ratio = 1.035346, overshoot = 5.440173e+111
n =   268, term = 12, ratio = 1.056827, overshoot = 2.292831e+117
n =   279, term = 11, ratio = 1.008321, overshoot = 4.400773e+121
n =   291, term = 12, ratio = 1.036570, overshoot = 5.069760e+127
n =   302, term = 11, ratio = 1.017363, overshoot = 1.577473e+132
n =   314, term = 12, ratio = 1.042521, overshoot = 1.012721e+138
n =   326, term = 12, ratio = 1.059776, overshoot = 3.732130e+143
n =   337, term = 11, ratio = 1.008588, overshoot = 7.027750e+147
n =   349, term = 12, ratio = 1.027821, overshoot = 5.968285e+153
n =   361, term = 12, ratio = 1.028951, overshoot = 1.628117e+159
n =   373, term = 12, ratio = 1.042230, overshoot = 6.225615e+164
n =   384, term = 11, ratio = 1.011059, overshoot = 1.068481e+169
n =   396, term = 12, ratio = 1.024755, overshoot = 6.269560e+174
n =   408, term = 12, ratio = 1.037551, overshoot = 2.493103e+180
n =   420, term = 12, ratio = 1.043703, overshoot = 7.606266e+185
n =   432, term = 12, ratio = 1.052198, overshoot = 2.381524e+191
n =   444, term = 12, ratio = 1.060719, overshoot = 7.262091e+196
n =   456, term = 12, ratio = 1.068790, overshoot = 2.156756e+202
n =   468, term = 12, ratio = 1.064799, overshoot = 5.325845e+207
n =   480, term = 12, ratio = 1.068586, overshoot = 1.477724e+213
n =   492, term = 12, ratio = 1.073128, overshoot = 4.130264e+218
n =   503, term = 11, ratio = 1.003876, overshoot = 2.869146e+222
n =   515, term = 12, ratio = 1.008377, overshoot = 1.625751e+228
n =   527, term = 12, ratio = 1.007074, overshoot = 3.598500e+233
n =   539, term = 12, ratio = 1.008245, overshoot = 1.099578e+239
n =   551, term = 12, ratio = 1.009805, overshoot = 3.427780e+244
n =   563, term = 12, ratio = 1.011271, overshoot = 1.032953e+250
n =   575, term = 12, ratio = 1.002161, overshoot = 5.192167e+254
n =   588, term = 13, ratio = 1.076628, overshoot = 9.651731e+261
n =   600, term = 12, ratio = 1.075461, overshoot = 2.491601e+267
n =   612, term = 12, ratio = 1.074393, overshoot = 6.439155e+272
n =   624, term = 12, ratio = 1.034677, overshoot = 1.573644e+278
n =   636, term = 12, ratio = 1.029201, overshoot = 3.473751e+283
n =   648, term = 12, ratio = 1.025426, overshoot = 7.929165e+288
n =   660, term = 12, ratio = 1.022042, overshoot = 1.801891e+294
n =   672, term = 12, ratio = 1.012172, overshoot = 2.608459e+299
n =   684, term = 12, ratio = 1.006057, overshoot = 3.402488e+304
n =   696, term = 12, ratio = 1.000753, overshoot = 1.109187e+309
n =   709, term = 13, ratio = 1.064010, overshoot = 4.942245e+316
n =   721, term = 12, ratio = 1.047818, overshoot = 9.678471e+321
n =   733, term = 12, ratio = 1.039725, overshoot = 2.107754e+327
n =   745, term = 12, ratio = 1.032812, overshoot = 4.563806e+332
n =   757, term = 12, ratio = 1.026223, overshoot = 9.561446e+337
n =   769, term = 12, ratio = 1.019676, overshoot = 1.880675e+343
n =   781, term = 12, ratio = 1.008447, overshoot = 2.116542e+348
n =   794, term = 13, ratio = 1.046499, overshoot = 1.221670e+355
n =   806, term = 12, ratio = 1.038484, overshoot = 2.650571e+360
n =   818, term = 12, ratio = 1.030594, overshoot = 5.523633e+365
n =   830, term = 12, ratio = 1.015675, overshoot = 7.418981e+370
n =   842, term = 12, ratio = 1.004906, overshoot = 6.086851e+375
n =   855, term = 13, ratio = 1.034267, overshoot = 4.458133e+382
n =   867, term = 12, ratio = 1.025025, overshoot = 8.534784e+387
n =   880, term = 13, ratio = 1.071330, overshoot = 1.275429e+394
n =   892, term = 12, ratio = 1.059518, overshoot = 2.789793e+399
n =   904, term = 12, ratio = 1.048875, overshoot = 6.005550e+404
n =   916, term = 12, ratio = 1.038578, overshoot = 1.242632e+410
n =   928, term = 12, ratio = 1.028351, overshoot = 2.393954e+415
n =   940, term = 12, ratio = 1.013538, overshoot = 2.996739e+420
n =   952, term = 12, ratio = 1.000922, overshoot = 5.349899e+424
n =   965, term = 13, ratio = 1.036236, overshoot = 2.204792e+432
n =   977, term = 12, ratio = 1.024938, overshoot = 3.977681e+437
n =   989, term = 12, ratio = 1.006612, overshoot = 2.764541e+442
